person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,predicted_default,default_probability,upload_date
41,75000,0,1.0,4,1,20000,11.14,0,0.27,0,11,0,0.10715258071177117,2025-05-20
39,21600,1,0.0,3,0,6000,6.03,0,0.28,0,12,0,0.10532752491581285,2025-05-20
36,76464,0,8.0,3,2,20000,13.22,0,0.26,1,12,0,0.2513707521933959,2025-05-20
50,76500,0,1.0,4,1,20000,11.99,0,0.26,0,17,0,0.12132430814484842,2025-05-20
38,21600,1,1.0,1,2,4750,15.23,0,0.22,1,16,0,0.4713241009909268,2025-05-20
36,21600,1,0.0,5,0,2100,8.49,0,0.1,0,12,0,0.014867076417177825,2025-05-20
41,21600,1,1.0,2,2,3500,13.61,0,0.16,0,12,0,0.30944377126496053,2025-05-20
36,22000,2,0.0,1,0,8000,6.99,0,0.36,0,17,0,0.22809271694920605,2025-05-20
36,84000,0,0.0,1,1,20000,9.64,1,0.24,0,16,0,0.1793214074668392,2025-05-20
40,73100,0,0.0,3,3,20000,14.54,1,0.23,1,11,0,0.39710101750861404,2025-05-20
36,103000,0,0.0,0,2,20000,13.79,0,0.19,1,17,0,0.28513417436969,2025-05-20
37,92000,0,4.0,0,3,20000,14.46,1,0.22,0,15,1,0.6494727811089477,2025-05-20
38,110000,0,5.0,2,0,20000,6.91,0,0.18,0,13,0,0.028561180439324152,2025-05-20
40,110000,0,0.0,1,1,20000,10.38,0,0.18,0,16,0,0.10633152676686039,2025-05-20
41,110496,0,3.0,2,0,20000,6.91,0,0.18,0,16,0,0.0316524022751305,2025-05-20
37,108000,0,0.0,2,4,20000,16.32,1,0.19,0,15,1,0.6971748384780417,2025-05-20
37,120000,0,4.0,5,2,20000,13.47,0,0.17,1,11,0,0.07049076706128729,2025-05-20
36,130000,0,11.0,1,4,20000,0.0,0,0.15,1,14,1,0.595172257139068,2025-05-20
39,23000,1,6.0,3,0,6400,8.9,0,0.28,0,14,0,0.11345217744243515,2025-05-20
41,150000,0,13.0,4,5,20000,19.47,0,0.13,0,15,1,0.6984913521703463,2025-05-20
39,150000,0,0.0,2,1,20000,10.08,0,0.13,0,17,0,0.05377570202677989,2025-05-20
45,23000,1,2.0,4,0,7000,7.29,0,0.3,0,15,0,0.10688663111162243,2025-05-20
40,172800,0,9.0,0,1,20000,0.0,0,0.12,0,13,0,0.06841652120511421,2025-05-20
42,889000,0,13.0,1,0,20000,0.0,0,0.02,0,17,0,0.007930890124901696,2025-05-20
40,23004,1,2.0,3,0,7750,7.88,0,0.34,0,16,0,0.18369966542832303,2025-05-20
36,23004,1,0.0,5,1,12000,11.48,0,0.52,0,11,1,0.5965070695546442,2025-05-20
40,14400,0,0.0,3,1,1000,9.25,0,0.07,0,11,0,0.07838789115945209,2025-05-20
41,23396,1,5.0,2,1,10000,10.38,0,0.43,0,16,1,0.64225625535768,2025-05-20
47,18000,0,0.0,2,3,1000,14.84,1,0.06,1,16,0,0.4410801493809298,2025-05-20
38,48384,0,4.0,3,3,19000,14.96,1,0.39,1,16,1,0.819188281547381,2025-05-20
38,23868,2,0.0,2,1,7750,12.53,1,0.32,0,14,0,0.2891121573596283,2025-05-20
36,24000,2,18.0,5,1,6200,10.65,0,0.26,0,16,0,0.11874225642340541,2025-05-20
37,103000,0,3.0,0,0,18550,7.88,0,0.18,0,12,0,0.0495148635226331,2025-05-20
38,24000,2,6.0,0,0,1500,6.03,0,0.06,0,16,0,0.02755285834821252,2025-05-20
42,150000,0,19.0,3,2,18400,0.0,0,0.12,0,17,0,0.11951928725014248,2025-05-20
38,40000,0,4.0,1,1,18225,12.42,1,0.46,0,17,1,0.7242558825734224,2025-05-20
42,45000,0,1.0,0,1,18200,10.83,1,0.4,0,14,1,0.6176560717588704,2025-05-20
37,58000,0,9.0,3,1,18200,10.99,1,0.31,0,11,0,0.21662397549636034,2025-05-20
41,24000,2,5.0,3,0,1500,0.0,0,0.06,0,15,0,0.012396922293511812,2025-05-20
43,36480,0,0.0,4,1,18000,11.71,1,0.49,0,16,1,0.6207955803958247,2025-05-20
37,43200,0,5.0,5,1,18000,8.88,1,0.42,0,16,0,0.381063906304961,2025-05-20
43,50000,0,6.0,4,2,18000,14.35,1,0.36,0,16,1,0.5582665223407229,2025-05-20
45,24000,2,0.0,5,2,4000,13.49,0,0.17,0,13,0,0.13226804477104723,2025-05-20
45,48500,0,7.0,3,2,18000,13.85,1,0.37,1,15,1,0.5822188884785744,2025-05-20
40,55000,0,14.0,2,0,18000,7.88,1,0.33,0,14,0,0.15092480765542574,2025-05-20
39,70000,0,3.0,4,1,18000,11.14,0,0.26,0,14,0,0.1240765849017201,2025-05-20
39,73500,0,1.0,1,2,18000,0.0,0,0.24,1,15,0,0.3505920531523219,2025-05-20
44,24000,2,4.0,2,3,7750,15.58,0,0.32,1,13,1,0.7251107377737965,2025-05-20
36,24000,1,5.0,5,2,4000,14.72,0,0.17,1,15,0,0.16769532184232153,2025-05-20
38,77000,0,9.0,5,1,18000,10.65,0,0.23,0,11,0,0.06919891916721767,2025-05-20
43,62900,0,22.0,3,3,18000,17.27,1,0.24,1,14,1,0.5200077841308719,2025-05-20
38,81000,0,7.0,0,1,18000,10.59,0,0.22,0,16,0,0.2182978074470884,2025-05-20
36,82000,0,12.0,2,2,18000,13.22,0,0.22,0,17,0,0.3388523897247818,2025-05-20
48,82500,0,4.0,2,0,18000,7.51,0,0.22,0,16,0,0.05605673314412772,2025-05-20
