person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,predicted_default,default_probability,upload_date
41,75000,-1.0,1.0,4,1,20000,11.14,0,0.27,0.0,11,0,0.15564549805898653,2025-05-19
39,21600,-1.0,0.0,3,0,6000,6.03,0,0.28,0.0,12,0,0.21737289629301523,2025-05-19
36,76464,-1.0,8.0,3,2,20000,13.22,0,0.26,0.0,12,0,0.39337682939161905,2025-05-19
50,76500,-1.0,1.0,4,1,20000,11.99,0,0.26,0.0,17,0,0.1749738933307401,2025-05-19
38,21600,-1.0,1.0,1,2,4750,15.23,0,0.22,0.0,16,1,0.7256206976626275,2025-05-19
36,21600,-1.0,0.0,5,0,2100,8.49,0,0.1,0.0,12,0,0.034380292415326766,2025-05-19
41,21600,-1.0,1.0,2,2,3500,13.61,0,0.16,0.0,12,1,0.513901384538299,2025-05-19
36,22000,-1.0,0.0,1,0,8000,6.99,0,0.36,0.0,17,1,0.517093103397151,2025-05-19
36,84000,-1.0,0.0,1,1,20000,9.64,1,0.24,0.0,16,0,0.2512829880284561,2025-05-19
40,73100,-1.0,0.0,3,3,20000,14.54,1,0.23,0.0,11,1,0.5598654894733316,2025-05-19
36,103000,-1.0,0.0,0,2,20000,13.79,0,0.19,0.0,17,0,0.43512776235496775,2025-05-19
37,92000,-1.0,4.0,0,3,20000,14.46,1,0.22,0.0,15,1,0.7399854637128245,2025-05-19
38,110000,-1.0,5.0,2,0,20000,6.91,0,0.18,0.0,13,0,0.04320804021322755,2025-05-19
40,110000,-1.0,0.0,1,1,20000,10.38,0,0.18,0.0,16,0,0.15451717367503415,2025-05-19
41,110496,-1.0,3.0,2,0,20000,6.91,0,0.18,0.0,16,0,0.04780650134966882,2025-05-19
37,108000,-1.0,0.0,2,4,20000,16.32,1,0.19,0.0,15,1,0.779550881276504,2025-05-19
37,120000,-1.0,4.0,5,2,20000,13.47,0,0.17,0.0,11,0,0.12775010887870292,2025-05-19
36,130000,-1.0,11.0,1,4,20000,0.0,0,0.15,0.0,14,1,0.7395371640804779,2025-05-19
39,23000,-1.0,6.0,3,0,6400,8.9,0,0.28,0.0,14,0,0.23190015988128856,2025-05-19
41,150000,-1.0,13.0,4,5,20000,19.47,0,0.13,0.0,15,1,0.7806219603168301,2025-05-19
39,150000,-1.0,0.0,2,1,20000,10.08,0,0.13,0.0,17,0,0.0802845244854299,2025-05-19
45,23000,-1.0,2.0,4,0,7000,7.29,0,0.3,0.0,15,0,0.2201823744969137,2025-05-19
40,172800,-1.0,9.0,0,1,20000,0.0,0,0.12,0.0,13,0,0.1013693768267181,2025-05-19
42,889000,-1.0,13.0,1,0,20000,0.0,0,0.02,0.0,17,0,0.012130147742047612,2025-05-19
40,23004,-1.0,2.0,3,0,7750,7.88,0,0.34,0.0,16,0,0.3467990524372025,2025-05-19
36,23004,-1.0,0.0,5,1,12000,11.48,0,0.52,0.0,11,1,0.7771739887061175,2025-05-19
40,14400,-1.0,0.0,3,1,1000,9.25,0,0.07,0.0,11,0,0.11554776396700805,2025-05-19
41,23396,-1.0,5.0,2,1,10000,10.38,0,0.43,0.0,16,1,0.8089978101364249,2025-05-19
47,18000,-1.0,0.0,2,3,1000,14.84,1,0.06,0.0,16,1,0.6038171682534114,2025-05-19
38,48384,-1.0,4.0,3,3,19000,14.96,1,0.39,0.0,16,1,0.8974339753098219,2025-05-19
38,23868,-1.0,0.0,2,1,7750,12.53,1,0.32,0.0,14,1,0.5957557132446684,2025-05-19
36,24000,-1.0,18.0,5,1,6200,10.65,0,0.26,0.0,16,0,0.32807960468074976,2025-05-19
37,103000,-1.0,3.0,0,0,18550,7.88,0,0.18,0.0,12,0,0.07408775527039162,2025-05-19
38,24000,-1.0,6.0,0,0,1500,6.03,0,0.06,0.0,16,0,0.09311349976860749,2025-05-19
42,150000,-1.0,19.0,3,2,18400,0.0,0,0.12,0.0,17,0,0.17252741466555319,2025-05-19
38,40000,-1.0,4.0,1,1,18225,12.42,1,0.46,0.0,17,1,0.8013640954105562,2025-05-19
42,45000,-1.0,1.0,0,1,18200,10.83,1,0.4,0.0,14,1,0.7127507925705809,2025-05-19
37,58000,-1.0,9.0,3,1,18200,10.99,1,0.31,0.0,11,0,0.298117279544685,2025-05-19
41,24000,-1.0,5.0,3,0,1500,0.0,0,0.06,0.0,15,0,0.043508261052711716,2025-05-19
43,36480,-1.0,0.0,4,1,18000,11.71,1,0.49,0.0,16,1,0.715469162936936,2025-05-19
37,43200,-1.0,5.0,5,1,18000,8.88,1,0.42,0.0,16,0,0.4860375073185981,2025-05-19
43,50000,-1.0,6.0,4,2,18000,14.35,1,0.36,0.0,16,1,0.6600013459910916,2025-05-19
45,24000,-1.0,0.0,5,2,4000,13.49,0,0.17,0.0,13,0,0.3558227878483477,2025-05-19
45,48500,-1.0,7.0,3,2,18000,13.85,1,0.37,0.0,15,1,0.7291005562988885,2025-05-19
40,55000,-1.0,14.0,2,0,18000,7.88,1,0.33,0.0,14,0,0.21446885775057717,2025-05-19
39,70000,-1.0,3.0,4,1,18000,11.14,0,0.26,0.0,14,0,0.1786957143774371,2025-05-19
39,73500,-1.0,1.0,1,2,18000,0.0,0,0.24,0.0,15,1,0.5104328200144502,2025-05-19
44,24000,-1.0,4.0,2,3,7750,15.58,0,0.32,0.0,13,1,0.923188002473677,2025-05-19
36,24000,-1.0,5.0,5,2,4000,14.72,0,0.17,0.0,15,0,0.3740913921417922,2025-05-19
38,77000,-1.0,9.0,5,1,18000,10.65,0,0.23,0.0,11,0,0.1024871592889838,2025-05-19
43,62900,-1.0,22.0,3,3,18000,17.27,1,0.24,0.0,14,1,0.6766128471774927,2025-05-19
38,81000,-1.0,7.0,0,1,18000,10.59,0,0.22,0.0,16,0,0.3001795128827688,2025-05-19
36,82000,-1.0,12.0,2,2,18000,13.22,0,0.22,0.0,17,0,0.4404731299040461,2025-05-19
48,82500,-1.0,4.0,2,0,18000,7.51,0,0.22,0.0,16,0,0.08359065942099997,2025-05-19
47,24000,-1.0,4.0,2,3,5100,0.0,0,0.21,0.0,16,1,0.8326105670144326,2025-05-19
40,85000,-1.0,5.0,2,1,18000,11.48,0,0.21,0.0,13,0,0.17339826182845697,2025-05-19
43,90000,-1.0,9.0,3,2,18000,13.11,0,0.2,0.0,12,0,0.2942050021655818,2025-05-19
36,125000,-1.0,0.0,2,1,18000,11.11,0,0.14,0.0,11,0,0.08341137578378191,2025-05-19
36,130000,-1.0,0.0,3,1,18000,11.71,0,0.14,0.0,14,0,0.07323953341542598,2025-05-19
44,24000,-1.0,5.0,1,3,5000,14.74,0,0.21,0.0,15,1,0.8687378198175356,2025-05-19
39,168000,-1.0,2.0,2,4,18000,17.93,1,0.11,0.0,11,1,0.6144621015888634,2025-05-19
36,24000,-1.0,2.0,0,0,1500,9.63,0,0.06,0.0,16,0,0.09233597600071669,2025-05-19
50,85000,-1.0,1.0,2,2,17500,13.49,0,0.21,0.0,17,0,0.4205017059496685,2025-05-19
38,51000,-1.0,3.0,2,1,17000,10.38,1,0.33,0.0,11,0,0.4171845600097874,2025-05-19
49,70000,-1.0,4.0,1,1,17000,11.71,0,0.24,0.0,16,0,0.31137008898817886,2025-05-19
46,72194,-1.0,8.0,4,1,17000,8.88,0,0.24,0.0,15,0,0.17013658165351644,2025-05-19
42,75000,-1.0,6.0,3,0,17000,7.9,0,0.23,0.0,15,0,0.07555927875134918,2025-05-19
40,95000,-1.0,0.0,4,1,17000,10.0,0,0.18,0.0,15,0,0.09477699852921521,2025-05-19
49,86400,-1.0,7.0,4,0,16875,7.51,0,0.2,0.0,14,0,0.04431835072805587,2025-05-19
37,25000,-1.0,8.0,5,2,10625,13.06,0,0.42,0.0,12,1,0.8103323913358227,2025-05-19
36,25000,-1.0,4.0,3,0,11500,7.29,0,0.46,0.0,12,1,0.5414425419307874,2025-05-19
38,47000,-1.0,4.0,0,0,16500,7.9,1,0.35,0.0,16,0,0.3883270422691304,2025-05-19
43,25000,-1.0,10.0,1,1,10000,9.62,0,0.4,0.0,17,1,0.809681538536619,2025-05-19
36,72000,-1.0,5.0,5,2,16500,13.61,0,0.23,0.0,11,0,0.26464431057919025,2025-05-19
48,92000,-1.0,6.0,0,1,16500,12.69,0,0.18,0.0,15,0,0.2406796185028736,2025-05-19
36,36000,-1.0,7.0,4,0,16000,8.9,1,0.44,0.0,17,0,0.3915302325240891,2025-05-19
44,36000,-1.0,0.0,4,1,16000,11.49,1,0.44,0.0,13,1,0.6118972710248728,2025-05-19
39,43680,-1.0,9.0,3,1,16000,0.0,1,0.37,0.0,16,1,0.5180885187182521,2025-05-19
41,45000,-1.0,2.0,3,2,16000,12.99,1,0.36,0.0,14,1,0.7246459533210856,2025-05-19
36,25000,-1.0,0.0,2,1,3000,8.7,0,0.12,0.0,12,0,0.1976152205317523,2025-05-19
36,44000,-1.0,4.0,0,2,16000,14.65,1,0.36,0.0,11,1,0.8345301773674596,2025-05-19
50,50000,-1.0,1.0,4,0,16000,7.9,1,0.32,0.0,17,0,0.1572968595448913,2025-05-19
36,25200,-1.0,0.0,1,2,8700,12.23,1,0.35,0.0,14,1,0.8711314877496706,2025-05-19
37,60000,-1.0,21.0,0,1,16000,0.0,0,0.27,0.0,15,0,0.45301334204903854,2025-05-19
42,54000,-1.0,4.0,0,2,16000,12.87,1,0.3,0.0,14,1,0.7528351949283347,2025-05-19
38,60000,-1.0,0.0,5,2,16000,13.22,0,0.27,0.0,14,0,0.38168616345235107,2025-05-19
37,25700,-1.0,5.0,1,3,1600,0.0,0,0.06,0.0,14,1,0.6192372984091967,2025-05-19
39,65000,-1.0,4.0,2,1,16000,11.83,0,0.25,0.0,16,0,0.2912534221551371,2025-05-19
39,67000,-1.0,6.0,5,1,16000,10.99,0,0.24,0.0,16,0,0.14922264588695888,2025-05-19
39,70000,-1.0,8.0,3,0,16000,7.9,0,0.23,0.0,14,0,0.07871800775221535,2025-05-19
40,70000,-1.0,2.0,0,1,16000,11.99,0,0.23,0.0,12,0,0.32210270525514595,2025-05-19
48,71004,-1.0,5.0,4,1,16000,9.25,0,0.23,0.0,17,0,0.17567692412612151,2025-05-19
49,69000,-1.0,0.0,2,3,16000,14.96,1,0.23,0.0,12,1,0.7037922775405013,2025-05-19
42,22000,-1.0,4.0,0,0,1000,7.29,0,0.05,0.0,13,0,0.0800024750487689,2025-05-19
38,25000,-1.0,1.0,1,0,1000,8.0,0,0.04,0.0,16,0,0.062302332606736226,2025-05-19
37,26000,-1.0,2.0,3,0,6000,8.59,0,0.23,0.0,12,0,0.14411713329240902,2025-05-19
36,27600,-1.0,0.0,1,1,1000,11.49,0,0.04,0.0,12,0,0.14090458023612357,2025-05-19
41,28800,-1.0,2.0,1,2,1000,0.0,0,0.03,0.0,13,0,0.29730447024864076,2025-05-19
46,35000,-1.0,1.0,5,0,1000,7.9,0,0.03,0.0,12,0,0.018988182925277933,2025-05-19
41,26400,-1.0,1.0,4,3,10300,16.29,1,0.39,0.0,14,1,0.9257937117391403,2025-05-19
45,38400,-1.0,4.0,0,2,1000,14.72,0,0.03,0.0,12,0,0.3635698042059657,2025-05-19
40,39960,-1.0,0.0,1,2,1000,15.23,0,0.03,0.0,14,0,0.3164373014004862,2025-05-19
37,44000,-1.0,14.0,1,0,1000,5.42,0,0.02,0.0,13,0,0.04848377918855813,2025-05-19
36,42000,-1.0,21.0,2,0,1000,7.51,1,0.02,0.0,14,0,0.04107153245985175,2025-05-19
38,61000,-1.0,0.0,4,1,1000,9.45,0,0.02,0.0,17,0,0.06946263893128675,2025-05-19
41,26400,-1.0,4.0,0,1,6000,12.21,1,0.23,0.0,16,1,0.5488694398250445,2025-05-19
44,26500,-1.0,5.0,0,0,6200,6.03,0,0.23,0.0,16,0,0.2938499292219366,2025-05-19
45,26748,-1.0,8.0,3,0,4000,7.88,0,0.15,0.0,12,0,0.08287575250067084,2025-05-19
36,26880,-1.0,0.0,3,0,4500,7.66,0,0.17,0.0,11,0,0.08811266575806123,2025-05-19
36,16800,-1.0,2.0,4,2,1200,13.06,0,0.07,0.0,15,0,0.24988219111914953,2025-05-19
44,17112,-1.0,4.0,0,0,1200,7.66,0,0.07,0.0,14,0,0.09902608744233829,2025-05-19
39,18300,-1.0,0.0,0,3,1200,14.74,1,0.07,0.0,11,1,0.6921670641076703,2025-05-19
36,19200,-1.0,4.0,0,1,1200,9.62,0,0.06,0.0,14,0,0.21737089169747467,2025-05-19
36,29000,-1.0,9.0,3,1,1200,12.42,0,0.04,0.0,15,0,0.10254767821055796,2025-05-19
36,27000,-1.0,4.0,2,0,6000,7.14,0,0.22,0.0,15,0,0.17881703722011608,2025-05-19
41,57000,-1.0,3.0,4,3,1200,15.99,0,0.02,0.0,12,0,0.3422996028138537,2025-05-19
