person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
23,98000,RENT,5.0,DEBTCONSOLIDATION,A,3500,8.07,0,0.04,N,3
21,110000,RENT,0.0,EDUCATION,C,3500,13.99,0,0.03,Y,3
23,26000,RENT,2.0,MEDICAL,A,3525,6.62,0,0.14,N,4
22,36000,MORTGAGE,6.0,EDUCATION,A,12000,7.29,0,0.33,N,3
24,36000,RENT,5.0,VENTURE,D,3525,14.59,0,0.1,Y,3
26,45000,RENT,6.0,MEDICAL,A,3575,,0,0.08,N,2
22,10800,RENT,,VENTURE,C,3600,12.23,1,0.33,Y,3
21,36000,OWN,,EDUCATION,A,11000,5.42,0,0.31,N,3
25,12000,RENT,,DEBTCONSOLIDATION,B,3600,9.62,1,0.3,N,2
21,12120,RENT,0.0,DEBTCONSOLIDATION,A,3600,8.32,1,0.3,N,2
22,36000,OWN,6.0,EDUCATION,B,7500,9.63,0,0.21,N,2
26,36000,MORTGAGE,10.0,VENTURE,A,9000,5.42,0,0.25,N,4
23,30000,MORTGAGE,7.0,HOMEIMPROVEMENT,A,2200,,1,0.07,N,3
22,36000,MORTGAGE,0.0,PERSONAL,A,2000,,0,0.06,N,4
21,15000,RENT,0.0,PERSONAL,D,3600,15.95,1,0.24,N,2
23,36000,MORTGAGE,2.0,VENTURE,B,12000,10.74,0,0.33,N,4
22,18000,RENT,0.0,MEDICAL,B,3600,,1,0.2,N,3
22,18000,RENT,0.0,HOMEIMPROVEMENT,A,3600,6.91,1,0.2,N,3
22,18700,RENT,3.0,EDUCATION,A,3600,8.9,1,0.19,N,4
24,20000,RENT,3.0,MEDICAL,B,3600,11.71,0,0.18,N,4
25,21600,RENT,3.0,PERSONAL,B,3600,10.99,0,0.17,N,4
24,24000,RENT,1.0,DEBTCONSOLIDATION,A,3600,6.62,1,0.15,N,4
23,36000,MORTGAGE,7.0,VENTURE,C,4800,13.06,0,0.13,Y,2
21,24000,RENT,,EDUCATION,B,3600,11.99,0,0.15,N,3
26,24000,RENT,0.0,MEDICAL,D,3600,14.96,1,0.15,N,4
23,24216,RENT,1.0,EDUCATION,D,3600,16.49,1,0.15,N,3
21,24996,RENT,1.0,MEDICAL,D,3600,14.09,1,0.14,N,3
21,26400,RENT,0.0,DEBTCONSOLIDATION,C,3600,14.27,0,0.14,Y,3
26,30000,RENT,3.0,MEDICAL,D,3600,15.99,1,0.12,N,4
23,30000,RENT,3.0,PERSONAL,A,3600,5.99,0,0.12,N,2
24,30000,RENT,0.0,PERSONAL,A,3600,7.49,0,0.12,N,4
22,30000,RENT,2.0,DEBTCONSOLIDATION,B,3600,10.99,0,0.12,N,3
24,30000,RENT,1.0,VENTURE,A,3600,8.49,0,0.12,N,3
22,36000,MORTGAGE,2.0,VENTURE,B,7750,9.99,0,0.22,N,4
23,36000,MORTGAGE,7.0,DEBTCONSOLIDATION,C,15800,13.72,0,0.44,Y,4
23,30000,RENT,4.0,PERSONAL,C,3600,14.17,0,0.12,N,3
23,30000,RENT,0.0,VENTURE,A,3600,6.17,0,0.12,N,2
22,36000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,1800,6.17,0,0.05,N,4
24,36000,MORTGAGE,8.0,PERSONAL,A,4800,6.91,0,0.13,N,3
22,30000,RENT,0.0,VENTURE,B,3600,12.21,0,0.12,N,3
23,30000,RENT,7.0,EDUCATION,B,3600,9.7,0,0.12,N,3
22,36000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,10000,5.42,0,0.28,N,3
22,31000,RENT,4.0,VENTURE,B,3600,12.69,0,0.12,N,3
23,36000,OWN,1.0,VENTURE,A,1800,6.54,0,0.05,N,4
25,31200,RENT,0.0,DEBTCONSOLIDATION,A,3600,8.9,0,0.12,N,2
23,36000,OWN,1.0,MEDICAL,C,14600,12.61,0,0.41,Y,2
23,36000,OWN,7.0,EDUCATION,B,6000,8.88,0,0.17,N,2
25,31800,RENT,2.0,PERSONAL,A,3600,7.51,0,0.11,N,3
