person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,predicted_default,default_probability,upload_date
23,98000,0,5.0,0,0,3500,8.07,0,0.04,0,3,0,0.027183547591543546,2025/05/20
21,110000,0,0.0,1,2,3500,13.99,0,0.03,1,3,0,0.11098679116377994,2025/05/20
23,26000,0,2.0,3,0,3525,6.62,0,0.14,0,4,0,0.03623841635976381,2025/05/20
22,36000,2,6.0,1,0,12000,7.29,0,0.33,0,3,0,0.08694944533153082,2025/05/20
24,36000,0,5.0,5,3,3525,14.59,0,0.1,1,3,0,0.217342129456242,2025/05/20
26,45000,0,6.0,3,0,3575,0.0,0,0.08,0,2,0,0.018357290590654173,2025/05/20
22,10800,0,3.0,5,2,3600,12.23,1,0.33,1,3,1,0.5052460436858164,2025/05/20
21,36000,1,3.0,1,0,11000,5.42,0,0.31,0,3,0,0.11137782585400045,2025/05/20
25,12000,0,3.0,0,1,3600,9.62,1,0.3,0,2,1,0.5286702057355432,2025/05/20
21,12120,0,0.0,0,0,3600,8.32,1,0.3,0,2,0,0.2770446595808969,2025/05/20
22,36000,1,6.0,1,1,7500,9.63,0,0.21,0,2,0,0.14264192253233238,2025/05/20
26,36000,2,10.0,5,0,9000,5.42,0,0.25,0,4,0,0.02001294390244437,2025/05/20
23,30000,2,7.0,2,0,2200,0.0,1,0.07,0,3,0,0.010479006750588563,2025/05/20
22,36000,2,0.0,4,0,2000,0.0,0,0.06,0,4,0,0.005821578974540878,2025/05/20
21,15000,0,0.0,4,3,3600,15.95,1,0.24,0,2,1,0.6405103128277142,2025/05/20
23,36000,2,2.0,5,1,12000,10.74,0,0.33,0,4,0,0.09275994520892296,2025/05/20
22,18000,0,0.0,3,1,3600,0.0,1,0.2,0,3,0,0.15424283105273842,2025/05/20
22,18000,0,0.0,2,0,3600,6.91,1,0.2,0,3,0,0.07853505947601394,2025/05/20
22,18700,0,3.0,1,0,3600,8.9,1,0.19,0,4,0,0.09496349992881477,2025/05/20
24,20000,0,3.0,3,1,3600,11.71,0,0.18,0,4,0,0.14182507184641827,2025/05/20
25,21600,0,3.0,4,1,3600,10.99,0,0.17,0,4,0,0.10381216377684711,2025/05/20
24,24000,0,1.0,0,0,3600,6.62,1,0.15,0,4,0,0.08081903086821247,2025/05/20
23,36000,2,7.0,5,2,4800,13.06,0,0.13,1,2,0,0.04709349225654247,2025/05/20
21,24000,0,3.0,1,1,3600,11.99,0,0.15,0,3,0,0.16109896572688315,2025/05/20
26,24000,0,0.0,3,3,3600,14.96,1,0.15,0,4,0,0.494985459510912,2025/05/20
23,24216,0,1.0,1,3,3600,16.49,1,0.15,0,3,1,0.6107874456724613,2025/05/20
21,24996,0,1.0,3,3,3600,14.09,1,0.14,0,3,0,0.45725618154225683,2025/05/20
21,26400,0,0.0,0,2,3600,14.27,0,0.14,1,3,0,0.3333213287097627,2025/05/20
26,30000,0,3.0,3,3,3600,15.99,1,0.12,0,4,0,0.42293410972944123,2025/05/20
23,30000,0,3.0,4,0,3600,5.99,0,0.12,0,2,0,0.021569756053529395,2025/05/20
24,30000,0,0.0,4,0,3600,7.49,0,0.12,0,4,0,0.023015960289770186,2025/05/20
22,30000,0,2.0,0,1,3600,10.99,0,0.12,0,3,0,0.15243181546045112,2025/05/20
24,30000,0,1.0,5,0,3600,8.49,0,0.12,0,3,0,0.017527241858912735,2025/05/20
22,36000,2,2.0,5,1,7750,9.99,0,0.22,0,4,0,0.043484652686399575,2025/05/20
23,36000,2,7.0,0,2,15800,13.72,0,0.44,1,4,1,0.6610962926109827,2025/05/20
23,30000,0,4.0,4,2,3600,14.17,0,0.12,0,3,0,0.16085356200234938,2025/05/20
23,30000,0,0.0,5,0,3600,6.17,0,0.12,0,2,0,0.016622457985589544,2025/05/20
22,36000,2,2.0,0,0,1800,6.17,0,0.05,0,4,0,0.014993758493749308,2025/05/20
24,36000,2,8.0,4,0,4800,6.91,0,0.13,0,3,0,0.009990611469081643,2025/05/20
22,30000,0,0.0,5,1,3600,12.21,0,0.12,0,3,0,0.048461266352727184,2025/05/20
23,30000,0,7.0,1,1,3600,9.7,0,0.12,0,3,0,0.12507419433024575,2025/05/20
22,36000,2,6.0,0,0,10000,5.42,0,0.28,0,3,0,0.07807992507213056,2025/05/20
22,31000,0,4.0,5,1,3600,12.69,0,0.12,0,3,0,0.049485351801251305,2025/05/20
23,36000,1,1.0,5,0,1800,6.54,0,0.05,0,4,0,0.006602639133212622,2025/05/20
25,31200,0,0.0,0,0,3600,8.9,0,0.12,0,2,0,0.05700603576241985,2025/05/20
23,36000,1,1.0,3,2,14600,12.61,0,0.41,1,2,1,0.5049893268910745,2025/05/20
23,36000,1,7.0,1,1,6000,8.88,0,0.17,0,2,0,0.11053036642794675,2025/05/20
25,31800,0,2.0,4,0,3600,7.51,0,0.11,0,3,0,0.020332068396428107,2025/05/20
24,32000,0,9.0,3,0,3600,7.49,0,0.11,0,3,0,0.02682007788412125,2025/05/20
23,32000,0,6.0,4,0,3600,9.63,0,0.11,0,3,0,0.02081720981968276,2025/05/20
25,33000,0,4.0,3,1,3600,10.0,1,0.11,0,3,0,0.07176157561660731,2025/05/20
22,35000,0,0.0,4,1,3600,11.83,0,0.1,0,3,0,0.05047573866397804,2025/05/20
22,36000,2,2.0,4,0,12000,7.51,0,0.33,0,4,0,0.043577450698797385,2025/05/20
25,36000,0,2.0,1,2,3600,15.23,0,0.1,0,4,0,0.25566867723067155,2025/05/20
22,36000,0,2.0,1,2,3600,12.99,0,0.1,0,2,0,0.23894641764094887,2025/05/20
25,36000,2,5.0,4,0,6000,7.88,0,0.17,0,4,0,0.014082975162004518,2025/05/20
22,36000,0,3.0,4,0,3600,5.99,0,0.1,0,2,0,0.01756280282900224,2025/05/20
24,36000,0,1.0,0,0,3600,7.29,0,0.1,0,2,0,0.046639550026814885,2025/05/20
26,36000,2,2.0,4,1,10000,10.75,0,0.28,0,2,0,0.07918167028502689,2025/05/20
23,30000,2,4.0,3,3,4000,16.32,1,0.13,1,4,0,0.20958505881924075,2025/05/20
22,37008,0,2.0,1,1,3600,12.42,0,0.1,0,4,0,0.1060478571414719,2025/05/20
23,36000,1,3.0,5,0,18000,7.88,0,0.5,0,2,0,0.15629255677207657,2025/05/20
22,38400,0,6.0,0,1,3600,12.69,0,0.09,0,3,0,0.11935179276942884,2025/05/20
23,38400,0,7.0,0,2,3600,13.61,0,0.09,0,3,0,0.2800638550819912,2025/05/20
24,36000,2,8.0,5,0,3250,6.39,0,0.09,0,2,0,0.005607463198570028,2025/05/20
24,36000,2,3.0,3,2,8000,13.61,0,0.22,0,2,0,0.16651054546603344,2025/05/20
22,36000,1,6.0,1,3,12000,15.21,0,0.33,1,3,1,0.7334207982505888,2025/05/20
22,36000,2,6.0,4,3,1400,14.84,0,0.04,1,4,0,0.09069681885151336,2025/05/20
26,36000,2,6.0,4,0,4000,6.76,0,0.11,0,3,0,0.00861483629336441,2025/05/20
25,33772,0,3.0,2,3,3600,16.02,1,0.11,1,2,0,0.3854608472950754,2025/05/20
23,40000,0,3.0,0,2,3600,15.96,0,0.09,1,4,0,0.24107655521278515,2025/05/20
22,36000,2,0.0,3,0,4500,7.51,0,0.13,0,2,0,0.012130849547342181,2025/05/20
24,40000,0,1.0,3,2,3600,13.49,0,0.09,0,3,0,0.15105317959280015,2025/05/20
25,36000,2,5.0,5,4,4800,17.93,0,0.13,0,3,0,0.3452488458043137,2025/05/20
21,40000,0,5.0,3,0,3600,5.42,0,0.09,0,4,0,0.021891631591464882,2025/05/20
26,36000,2,3.0,2,0,5400,7.51,0,0.15,0,4,0,0.019560444340175617,2025/05/20
25,36000,2,0.0,0,0,9000,7.14,0,0.25,0,4,0,0.06422788009512878,2025/05/20
23,36000,2,3.0,5,1,4800,10.38,0,0.13,0,4,0,0.022294142112037806,2025/05/20
24,40000,0,0.0,1,1,3600,10.59,0,0.09,0,2,0,0.08946807773098046,2025/05/20
23,36000,1,3.0,1,0,8500,7.51,0,0.24,0,3,0,0.06977481087249658,2025/05/20
22,40000,0,0.0,4,0,3600,6.17,0,0.09,0,2,0,0.015642673303198587,2025/05/20
24,40000,0,2.0,0,1,3600,11.12,0,0.09,0,3,0,0.11708030678715017,2025/05/20
22,36000,2,6.0,5,0,7500,7.14,0,0.21,0,3,0,0.014117587874287244,2025/05/20
25,36000,2,3.0,5,1,5000,0.0,0,0.14,0,4,0,0.023339894540426787,2025/05/20
