person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,predicted_default,default_probability,upload_date
22,59000,0,123.0,4,3,35000,16.02,1,0.59,1,3,1,0.8970392808312352,2025/05/20
21,9600,1,5.0,1,1,1000,11.14,0,0.1,0,2,0,0.0815466696753846,2025/05/20
25,9600,2,1.0,3,2,5500,12.87,1,0.57,0,3,1,0.9024650936841644,2025/05/20
23,65500,0,4.0,3,2,35000,15.23,1,0.53,0,2,1,0.5871420280693487,2025/05/20
24,54400,0,8.0,3,2,35000,14.27,1,0.55,1,4,1,0.6037090183610495,2025/05/20
21,9900,1,2.0,5,0,2500,7.14,1,0.25,0,2,0,0.0443198584891988,2025/05/20
26,77100,0,8.0,1,1,35000,12.42,1,0.45,0,3,0,0.2762393972827731,2025/05/20
24,78956,0,5.0,3,1,35000,11.11,1,0.44,0,4,0,0.1737329671750223,2025/05/20
24,83000,0,8.0,4,0,35000,8.9,1,0.42,0,2,0,0.041996176686801,2025/05/20
21,10000,1,6.0,5,3,1600,14.74,1,0.16,0,3,0,0.329137796666269,2025/05/20
22,85000,0,6.0,5,1,35000,10.37,1,0.41,0,4,0,0.0850224721745109,2025/05/20
21,10000,1,2.0,2,0,4500,8.63,1,0.45,0,2,0,0.4010097114444956,2025/05/20
23,95000,0,2.0,5,0,35000,7.9,1,0.37,0,2,0,0.0192115850067443,2025/05/20
26,108160,0,4.0,1,4,35000,18.39,1,0.32,0,4,1,0.7032768153829154,2025/05/20
23,115000,0,2.0,1,0,35000,7.9,0,0.3,0,4,0,0.0271349750304542,2025/05/20
23,500000,2,7.0,0,1,30000,10.65,0,0.06,0,3,0,0.0051518532132619,2025/05/20
23,120000,0,0.0,1,0,35000,7.9,0,0.29,0,4,0,0.024291189351528,2025/05/20
23,92111,0,7.0,3,5,35000,20.25,1,0.32,0,4,1,0.8052683672152956,2025/05/20
23,113000,0,8.0,0,3,35000,18.25,1,0.31,0,4,0,0.4948582040039971,2025/05/20
24,10800,2,8.0,1,1,1750,10.99,1,0.16,0,2,0,0.0938386732279825,2025/05/20
25,162500,0,2.0,5,0,35000,7.49,0,0.22,0,4,0,0.0044448942945933,2025/05/20
25,137000,0,9.0,4,4,34800,16.77,0,0.25,1,2,0,0.2917843820014326,2025/05/20
